Meses;Feijao_cor;Feijao_Prt;Mandioca;Milho;Soja;Trigo;Cafe;Cana;Boi_GD;Boi_MG;Frango;Suino;Leite;Ovos_Gd;Ovos_Md;IGP_DI
jan/95;25,75;31,00;32,99;6,16;10,29;8,33;1,79;10,78;24,76;281,68;0,72;1,00;0,23;10,82;9,47;108,785
fev/95;25,23;31,36;32,94;5,22;10,23;8,28;1,87;10,86;24,40;275,69;0,63;0,90;0,23;10,56;9,33;110,039
mar/95;25,41;32,40;32,00;4,48;8,75;8,15;2,01;10,97;23,23;270,24;0,58;0,83;0,23;11,23;10,02;112,035
abr/95;24,25;29,58;31,11;4,89;8,58;8,02;2,06;11,12;22,24;261,15;0,58;0,82;0,24;10,63;9,40;114,614
mai/95;22,08;27,88;28,68;5,13;8,12;7,90;2,09;11,36;21,02;236,16;0,55;0,78;0,25;10,20;8,88;115,071
jun/95;20,59;26,14;26,15;5,17;8,30;8,22;2,04;11,28;20,55;233,52;0,55;0,76;0,25;10,14;8,70;118,09
jul/95;19,88;25,33;25,02;5,52;9,48;8,29;1,88;11,64;22,80;246,61;0,57;0,69;0,25;10,16;8,87;120,733
ago/95;19,48;25,33;25,71;5,73;10,34;8,61;2,01;11,70;23,75;257,96;0,62;0,72;0,24;9,45;8,20;122,289
set/95;19,92;24,18;26,95;5,53;10,46;9,37;1,94;12,01;22,70;250,49;0,62;0,71;0,24;9,22;8,02;120,967
out/95;20,29;23,75;29,93;6,04;11,05;10,07;1,85;12,74;22,95;246,32;0,61;0,70;0,23;9,19;7,81;121,241
nov/95;21,05;23,92;33,70;6,40;11,89;10,88;1,87;13,09;23,83;252,02;0,57;0,71;0,23;9,50;8,20;122,85
dez/95;27,53;23,69;39,49;6,40;12,46;10,67;1,79;13,08;21,09;229,37;0,62;0,72;0,22;10,09;8,94;123,187
jan/96;30,74;26,26;43,37;6,75;13,42;10,69;1,83;13,18;20,70;223,24;0,63;0,71;0,21;10,44;9,16;125,397
fev/96;26,75;23,23;48,81;6,23;13,00;11,16;2,13;13,33;21,09;226,63;0,64;0,69;0,21;11,08;9,87;126,353
mar/96;29,75;22,63;47,80;6,50;11,89;11,87;2,13;13,55;20,73;225,77;0,65;0,69;0,21;12,42;11,09;126,627
abr/96;30,98;21,09;50,77;7,39;12,66;12,97;2,04;14,20;21,13;233,25;0,64;0,68;0,22;12,80;11,27;127,509
mai/96;32,41;21,26;52,27;8,25;13,45;14,30;2,04;14,96;20,66;229,54;0,67;0,64;0,23;13,20;11,32;129,655
jun/96;37,12;24,86;53,64;7,99;13,02;14,74;1,83;15,31;20,81;230,84;0,69;0,69;0,25;13,79;12,28;131,24
jul/96;38,06;25,06;54,49;7,91;13,03;14,67;1,40;15,29;22,72;244,59;0,68;0,71;0,26;14,59;13,14;132,674
ago/96;38,13;24,79;57,72;8,05;13,66;12,09;1,38;15,67;23,39;249,76;0,67;0,74;0,27;15,90;14,41;132,679
set/96;40,40;24,56;58,62;8,12;15,86;10,64;1,58;15,43;23,20;252,94;0,69;0,74;0,27;14,40;12,78;132,849
out/96;49,71;24,91;60,08;7,97;16,03;8,59;1,51;15,16;24,01;260,74;0,72;0,75;0,27;13,18;11,59;133,141
nov/96;40,16;25,11;64,63;7,40;16,04;8,44;1,51;15,33;22,37;251,81;0,74;0,82;0,26;12,66;10,87;133,517
dez/96;28,22;24,91;65,86;6,63;16,13;8,26;1,51;15,64;21,96;239,40;0,74;0,88;0,24;12,93;11,38;134,689
jan/97;27,61;25,02;66,69;5,84;15,52;8,23;1,75;15,50;22,15;243,24;0,70;0,88;0,23;12,82;11,45;136,814
fev/97;27,98;25,37;64,38;5,63;14,82;8,35;2,26;15,56;22,66;243,11;0,67;0,93;0,23;14,80;13,12;137,39
mar/97;28,63;28,52;60,23;5,79;15,09;8,53;2,36;15,37;22,89;247,93;0,66;1,05;0,23;17,21;15,77;138,99
abr/97;31,13;33,19;53,80;6,11;15,83;9,57;2,35;15,37;23,47;260,34;0,64;1,09;0,25;16,51;14,87;139,807
mai/97;34,26;36,16;51,97;6,31;15,89;10,68;2,65;15,53;22,92;255,92;0,63;0,98;0,25;14,78;13,21;140,229
jun/97;31,57;36,55;49,39;6,16;15,68;10,32;2,88;16,56;23,04;254,27;0,64;0,95;0,26;16,08;14,71;141,207
jul/97;25,10;36,01;47,50;6,12;14,89;9,76;2,51;16,77;24,39;262,12;0,63;0,93;0,26;17,27;15,92;141,33
ago/97;22,83;32,12;46,30;6,24;15,97;9,41;2,79;16,76;24,45;261,71;0,65;0,92;0,26;16,89;15,55;141,268
set/97;23,11;32,90;50,48;6,44;17,10;9,25;3,08;16,78;24,16;259,31;0,67;0,91;0,24;15,59;14,34;142,101
out/97;24,98;41,12;55,44;6,67;17,44;9,39;2,98;16,77;24,71;261,70;0,66;0,91;0,23;14,92;13,89;142,587
nov/97;21,72;46,79;58,12;6,73;17,34;9,40;2,86;16,81;25,02;263,91;0,65;0,91;0,22;14,04;13,01;143,771
dez/97;20,91;48,22;55,95;6,78;17,77;9,05;3,21;16,79;25,27;268,97;0,64;0,90;0,21;14,08;13,17;144,765
jan/98;25,60;49,76;53,22;7,18;16,44;8,88;3,42;16,78;25,21;268,29;0,66;0,89;0,20;13,95;13,31;146,038
fev/98;32,75;50,86;51,74;7,13;14,96;8,87;3,45;16,86;25,11;265,46;0,70;0,88;0,20;13,22;11,93;146,067
mar/98;34,00;52,18;50,43;7,01;13,34;9,05;3,07;16,83;25,37;270,56;0,70;0,87;0,20;16,17;14,88;146,408
abr/98;46,31;54,94;48,82;7,14;12,87;9,16;2,65;16,75;25,38;273,23;0,70;0,86;0,22;17,66;16,44;146,211
mai/98;77,14;64,45;47,82;7,31;12,76;9,29;2,20;16,74;24,75;270,72;0,67;0,83;0,24;16,57;15,21;146,544
jun/98;75,56;61,20;51,83;7,16;12,22;9,41;1,95;16,76;24,51;269,30;0,64;0,83;0,25;16,95;15,44;146,951
jul/98;55,97;51,37;51,94;7,10;12,27;9,41;1,63;16,67;25,13;271,11;0,64;0,83;0,26;16,03;14,69;146,398
ago/98;51,61;51,37;48,37;7,05;11,72;9,28;1,83;16,36;26,01;279,64;0,64;0,83;0,26;14,92;13,55;146,144
set/98;46,65;51,05;47,91;6,97;12,04;9,10;1,67;16,42;27,44;292,63;0,63;0,82;0,25;13,34;11,94;146,111
out/98;57,19;52,09;49,28;7,00;12,37;9,02;1,60;16,49;27,37;291,52;0,63;0,80;0,24;14,52;13,09;146,063
nov/98;43,96;48,96;49,11;7,24;12,90;8,83;1,64;16,67;27,17;285,69;0,63;0,81;0,22;14,85;14,24;145,797
dez/98;56,63;49,10;52,94;7,72;13,07;9,03;1,81;16,18;27,26;286,67;0,65;0,89;0,21;13,85;13,23;147,231
jan/99;52,71;44,17;52,98;8,00;13,28;9,11;1,98;16,54;27,59;293,96;0,65;0,89;0,21;14,07;12,17;148,921
