Ano;COD_MUNIC;MUNIC;COD_MICRO;VA_AGROPEC;VA_IND;VA_SERV;VA_ADM;VA_TOTAL;IIL;PIB;PIB_PER
2010;4100103;Abatiá;41015;38853;4052;18599;17291;78795;2059;80854;10428.73
2010;4100202;Adrianópolis;41035;33007;4028;11710;16175;64919;3177;68096;10683.45
2010;4100301;Agudos do Sul;41039;41563;5162;19725;17647;84097;3029;87126;10535.22
2010;4100400;Almirante Tamandaré;41037;19992;182871;244370;198325;645558;61343;706901;6846.83
2010;4100459;Altamira do Paraná;41004;15899;1317;7950;10724;35891;1500;37391;8683.57
2010;4100509;Altônia;41002;28662;13046;62733;44074;148515;8787;157302;7667.28
2010;4100608;Alto Paraná;41001;46575;14946;40297;29831;131650;6793;138443;10133.42
2010;4100707;Alto Piquiri;41002;38716;8478;41194;22244;110632;6692;117324;11526.08
2010;4100806;Alvorada do Sul;41007;38025;5358;42459;22919;108762;5893;114655;11133.71
2010;4100905;Amaporã;41001;16103;6467;10157;12677;45404;2236;47640;8750.83
2010;4101002;Ampére;41025;42093;81186;77682;35793;236753;28927;265680;15350.14
2010;4101051;Anahy;41023;16655;2174;8863;8114;35806;1323;37129;12959.58
2010;4101101;Andirá;41015;39234;119370;138194;46145;342944;39781;382725;18565.38
2010;4101150;Ângulo;41006;16935;1931;11651;8041;38557;1985;40542;14170.51
2010;4101200;Antonina;41038;7114;121709;93134;44705;266661;14026;280687;14858.25
2010;4101309;Antônio Olinto;41034;67230;3781;19467;17419;107898;3510;111407;15155.41
2010;4101408;Apucarana;41010;71738;466513;792868;260275;1591394;158570;1749964;14476.39
2010;4101507;Arapongas;41010;97156;1014720;1002853;215359;2330088;291305;2621393;25166.75
2010;4101606;Arapoti;41020;136269;170711;153329;57031;517340;79269;596609;23074.28
2010;4101655;Arapuã;41013;18833;2059;7263;9705;37860;1072;38932;10954.41
2010;4101705;Araruna;41005;46730;78160;55701;29190;209780;28546;238326;17753.74
2010;4101804;Araucária;41037;62192;3788963;3038393;426612;7316161;1677711;8993872;75447.51
2010;4101853;Ariranha do Ivaí;41013;20975;1746;5828;7309;35858;707;36564;14906
2010;4101903;Assaí;41014;48106;69030;92443;35176;244755;20021;264776;16176.43
2010;4102000;Assis Chateaubriand;41022;155608;33837;253103;72204;514752;42128;556880;16860.84
2010;4102109;Astorga;41006;59408;39113;129562;54729;282812;20611;303423;12282.35
2010;4102208;Atalaia;41006;17039;5121;18483;10867;51510;3568;55078;14075.68
2010;4102307;Balsa Nova;41037;21722;198244;90579;29094;339640;37753;377393;33415.35
2010;4102406;Bandeirantes;41015;62321;36412;143755;66184;308673;21978;330650;10274.39
2010;4102505;Barbosa Ferraz;41005;27111;5498;29592;28031;90232;3992;94223;7446.73
2010;4102604;Barracão;41026;19396;7826;54865;21047;103134;12070;115204;11831.55
2010;4102703;Barra do Jacaré;41016;23868;3701;7341;7772;42683;1146;43829;16072.32
2010;4102752;Bela Vista da Caroba;41025;20867;1749;8396;9624;40636;1496;42133;10696.28
2010;4102802;Bela Vista do Paraíso;41007;30037;15657;101098;32363;179156;18654;197810;13117.35
2010;4102901;Bituruna;41033;43074;24053;39969;38358;145454;10521;155974;9820.2
2010;4103008;Boa Esperança;41004;36392;6410;35088;12459;90350;5834;96184;21055.94
2010;4103024;Boa Esperança do Iguaçu;41026;22465;2045;9860;8278;42647;1761;44409;16043.58
2010;4103040;Boa Ventura de São Roque;41028;46246;7586;23031;16042;92904;5433;98338;15015.67
2010;4103057;Boa Vista da Aparecida;41023;16793;5149;16642;18341;56925;3108;60033;7588.59
2010;4103107;Bocaiúva do Sul;41037;30408;15891;31893;24326;102518;7945;110463;10037.55
2010;4103156;Bom Jesus do Sul;41026;17335;1258;4780;9670;33043;851;33894;8928.82
2010;4103206;Bom Sucesso;41012;26593;4393;13608;15410;60004;2130;62135;9460.24
2010;4103222;Bom Sucesso do Sul;41027;30030;3174;21264;9372;63840;4571;68411;20755.64
2010;4103305;Borrazópolis;41012;23685;4039;35329;17816;80868;5772;86640;10999.11
2010;4103354;Braganey;41023;37476;4086;21371;12201;75135;3529;78664;13716.47
2010;4103370;Brasilândia do Sul;41002;31451;3134;22278;9581;66445;4295;70740;22044.24
2010;4103404;Cafeara;41006;15768;2145;7496;8287;33696;1002;34697;12874.72
2010;4103453;Cafelândia;41023;74337;141153;190146;34382;440018;43380;483399;33221
2010;4103479;Cafezal do Sul;41002;16861;1816;7116;11138;36931;997;37928;8851.34
2010;4103503;Califórnia;41010;16036;4494;20850;17442;58823;4350;63173;7829.05
2010;4103602;Cambará;41016;56940;73880;122941;50341;304103;30369;334472;14011.64
2010;4103701;Cambé;41011;91316;445114;777063;203459;1516953;249887;1766840;18264.74
2010;4103800;Cambira;41010;22080;18230;31202;17087;88600;7547;96147;13287.37
2010;4103909;Campina da Lagoa;41004;65995;12920;65602;34600;179116;9584;188701;12258.85
2010;4103958;Campina do Simão;41029;17582;7988;6450;10193;42213;1260;43473;10665.61
2010;4104006;Campina Grande do Sul;41037;14580;118107;351086;84243;568016;97103;665119;17161.7
2010;4104055;Campo Bonito;41023;44238;3552;14689;11604;74083;2248;76331;17320.29
2010;4104105;Campo do Tenente;41039;48935;9619;26809;16260;101624;6194;107818;15132.35
2010;4104204;Campo Largo;41037;49035;556667;647843;232359;1485904;267495;1753400;15587.72
2010;4104253;Campo Magro;41037;26360;42424;68974;55646;193404;16489;209893;8451.15
2010;4104303;Campo Mourão;41005;67982;380641;899206;187659;1535487;166836;1702323;19502.6
2010;4104402;Cândido de Abreu;41013;47445;8486;37116;36425;129472;6941;136413;8187.05
2010;4104428;Candói;41029;73684;13601;79646;36785;203715;16907;220622;14725.81
2010;4104451;Cantagalo;41029;35754;6030;34144;28351;104279;6041;110319;8517.56
2010;4104501;Capanema;41025;73303;46891;93039;41953;255186;22131;277317;14980.37
2010;4104600;Capitão Leônidas Marques;41023;49397;547287;63801;33710;694195;13420;707615;47376.5
2010;4104659;Carambeí;41021;100867;197730;243851;49633;592081;72412;664493;34661.35
2010;4104709;Carlópolis;41018;86237;15910;46933;29206;178286;10701;188987;13788.62
2010;4104808;Cascavel;41023;248948;844757;3005006;609967;4708678;608385;5317063;18579.96
2010;4104907;Castro;41021;279929;185506;412504;149582;1027521;85699;1113220;16594.91
2010;4105003;Catanduvas;41023;64710;9110;34908;22547;131275;5557;136832;13404.37
2010;4105102;Centenário do Sul;41006;29444;5585;32832;24156;92017;3734;95752;8566.07
2010;4105201;Cerro Azul;41035;70814;10432;22575;36719;140541;3162;143704;8479.09
2010;4105300;Céu Azul;41024;63755;61321;92058;27588;244723;23498;268221;24312.99
2010;4105409;Chopinzinho;41027;62644;33525;95370;45827;237365;18020;255385;12981.49
2010;4105508;Cianorte;41003;105210;399517;459537;148140;1112404;100175;1212579;17331.97
2010;4105607;Cidade Gaúcha;41003;20999;42516;44576;25480;133571;10390;143961;13008.16
2010;4105706;Clevelândia;41030;48271;10311;76211;37646;172438;13346;185785;10781.37
2010;4105805;Colombo;41037;48814;589620;1030912;424120;2093466;267134;2360600;11081.23
2010;4105904;Colorado;41006;37082;106491;133078;50047;326698;39863;366561;16403.14
2010;4106001;Congonhinhas;41015;33984;6258;21664;19128;81034;3421;84455;10201.12
2010;4106100;Conselheiro Mairinck;41017;22043;2068;7161;9663;40936;734;41669;11488.62
2010;4106209;Contenda;41037;27233;26557;58486;34416;146692;14926;161618;10169.79
2010;4106308;Corbélia;41023;88622;21364;128746;36443;275175;19427;294603;18071.58
2010;4106407;Cornélio Procópio;41015;55640;119846;403236;105228;683950;69232;753182;16050.76
2010;4106456;Coronel Domingos Soares;41030;37604;12205;12494;17092;79395;4558;83953;11598.97
2010;4106506;Coronel Vivida;41027;60269;38640;105490;47098;251497;22673;274170;12613.05
2010;4106555;Corumbataí do Sul;41005;18171;1946;8469;9946;38533;883;39416;9846.57
2010;4106571;Cruzeiro do Iguaçu;41026;31079;5640;11195;11574;59488;2810;62298;14576.1
2010;4106605;Cruzeiro do Oeste;41002;39860;49386;123863;44417;257525;26120;283645;13891.23
2010;4106704;Cruzeiro do Sul;41001;69288;4193;11382;12068;96931;2122;99053;21707.98
2010;4106803;Cruz Machado;41033;72665;12255;34910;44918;164748;6004;170751;9463.58
2010;4106852;Cruzmaltina;41012;22035;2061;12576;8058;44731;2383;47114;14900.21
2010;4106902;Curitiba;41037;7175;10589776;31760834;4300764;46658549;11464239;58122788;33272.04
2010;4107009;Curiúva;41017;46500;6551;32866;28120;114038;5011;119048;8549.88
2010;4107108;Diamante do Norte;41001;10179;121383;11121;14645;157327;1312;158639;28718.14
2010;4107124;Diamante do Sul;41023;11610;858;3950;8974;25393;720;26113;7439.53
2010;4107157;Diamante D'Oeste;41022;20817;2437;13794;12053;49100;2152;51253;10195.52
2010;4107207;Dois Vizinhos;41026;126159;150225;269144;77878;623406;59222;682627;18858.15
2010;4107256;Douradina;41002;14345;37159;127645;17744;196893;97050;293943;39476.62
2010;4107306;Doutor Camargo;41008;16269;7327;28461;13616;65672;4972;70644;12119.4
2010;4107405;Enéas Marques;41026;52064;15023;16729;15288;99105;5711;104816;17180.11
2010;4107504;Engenheiro Beltrão;41005;49961;24854;88735;30599;194149;16808;210957;15154.96
2010;4107520;Esperança Nova;41002;7342;1234;3526;6307;18409;650;19059;9674.64
2010;4107538;Entre Rios do Oeste;41022;19936;15345;28154;12571;76005;6179;82184;20954.67
2010;4107546;Espigão Alto do Iguaçu;41029;23891;2178;9903;12273;48245;1901;50146;10721.87
2010;4107553;Farol;41005;26965;2971;19719;10098;59754;3673;63426;18267.9
2010;4107603;Faxinal;41012;44156;18413;86416;36524;185510;15011;200521;12289.1
2010;4107652;Fazenda Rio Grande;41037;10329;211464;243160;161562;626515;79774;706289;8646.29
2010;4107702;Fênix;41005;20554;2820;21514;11301;56189;3967;60156;12527.21
2010;4107736;Fernandes Pinheiro;41031;28518;5869;14544;15070;64001;2651;66651;11235.91
2010;4107751;Figueira;41017;12624;18430;25449;17488;73991;3156;77147;9302.66
2010;4107801;Floraí;41008;53735;15736;27498;11966;108936;4481;113417;22458.8
2010;4107850;Flor da Serra do Sul;41026;33706;2225;11585;11966;59482;2220;61702;13058.56
2010;4107900;Floresta;41008;20342;6362;27541;14244;68488;5221;73709;12448.7
2010;4108007;Florestópolis;41007;22121;20490;33671;24153;100435;6420;106855;9523.59
2010;4108106;Flórida;41006;6196;1868;8509;8080;24654;1253;25907;10199.56
2010;4108205;Formosa do Oeste;41022;39728;4932;37721;16326;98707;6556;105263;13955.06
2010;4108304;Foz do Iguaçu;41024;25298;3271106;1987052;637706;5921163;324350;6245513;24388.82
2010;4108320;Francisco Alves;41002;32083;4994;20837;14272;72186;3231;75417;11739.9
2010;4108403;Francisco Beltrão;41026;110002;287057;609768;167121;1173948;125872;1299820;16462.38
2010;4108452;Foz do Jordão;41029;16308;5921;11389;13926;47544;1703;49247;9096.23
2010;4108502;General Carneiro;41033;134675;13659;45282;31349;224966;8659;233624;17094.04
2010;4108551;Godoy Moreira;41013;9791;1212;5133;8496;24632;668;25301;7581.93
2010;4108601;Goioerê;41004;50691;50372;194152;61084;356298;34933;391232;13479.59
2010;4108650;Goioxim;41029;35762;3065;11645;15521;65994;2352;68346;9107.95
2010;4108700;Grandes Rios;41013;22873;3605;16634;15366;58478;1811;60289;9100.26
2010;4108809;Guaíra;41022;52032;45118;193161;67505;357816;33482;391299;12758.77
2010;4108908;Guairaçá;41001;37301;5562;18484;14700;76048;3085;79132;12775.65
2010;4108957;Guamiranga;41031;72028;7551;18735;18455;116769;3473;120242;15220.51
2010;4109005;Guapirama;41018;21345;3075;11073;10563;46056;2265;48321;12434.58
2010;4109104;Guaporema;41003;15279;1516;5230;7252;29277;882;30159;13597.26
2010;4109203;Guaraci;41006;17682;3239;10403;13694;45017;2870;47888;9126.64
2010;4109302;Guaraniaçu;41023;60429;14630;57432;33979;166471;10781;177252;12154.69
2010;4109401;Guarapuava;41029;154184;486300;1273104;331682;2245271;262322;2507593;14974.01
2010;4109500;Guaraqueçaba;41038;24282;3268;10498;19111;57159;1383;58542;7438.69
2010;4109609;Guaratuba;41038;22560;41565;174055;78929;317109;24076;341184;10632.77
2010;4109658;Honório Serpa;41030;34374;15400;19215;14656;83645;6775;90419;15171.03
2010;4109708;Ibaiti;41017;56298;24709;157178;54733;292918;23031;315949;10999.09
2010;4109757;Ibema;41023;17585;13844;20332;13253;65014;4911;69925;11527.36
2010;4109807;Ibiporã;41011;35429;163440;693263;108055;1000187;161759;1161946;24106.76
2010;4109906;Icaraíma;41002;31115;9544;30403;20108;91171;4658;95829;10841.58
2010;4110003;Iguaraçu;41006;25728;23333;19650;10989;79699;3476;83176;20835.57
2010;4110052;Iguatu;41023;22658;1754;7279;6442;38134;1177;39311;17604.69
2010;4110078;Imbaú;41019;50257;6605;26980;23926;107767;5652;113420;10058.49
2010;4110102;Imbituva;41031;92462;79353;95341;60226;327381;23162;350543;12319.2
2010;4110201;Inácio Martins;41029;35576;7491;22100;24969;90135;4275;94409;8627.37
2010;4110300;Inajá;41001;11918;2378;6326;8505;29128;1186;30314;10145.21
2010;4110409;Indianópolis;41003;15433;49780;29866;11978;107057;9462;116520;27103.9
2010;4110508;Ipiranga;41031;131346;16745;51102;31977;231170;9069;240239;16974.42
2010;4110607;Iporã;41002;43155;26083;61560;31871;162669;10276;172945;11557.43
2010;4110656;Iracema do Oeste;41022;15143;1711;11110;7505;35470;1846;37316;14474.81
